,000016.SH,000016.SH,000016.SH,000300.SH,000300.SH,000300.SH,000905.SH,000905.SH,000905.SH,000852.SH,000852.SH,000852.SH
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2005/5/27,726.94,724.522,333722700,855.595,849.508,774998300,797.183,790.998,416763164,771.069,767.274,102173332
2005/5/30,723.104,729.067,250843900,847.634,855.612,697158300,788.637,797.532,384870800,764.931,776.405,83862570
2005/5/31,729.887,730.997,292055900,856.561,855.946,704782100,798.334,796.872,429973699,776.24,775.742,98183904
2005/6/1,730.121,719.025,299951200,855.206,837.532,790230200,795.817,778.673,464872701,775.549,760.507,108014858
2005/6/2,716.797,701.373,425631000,835.467,818.379,950865700,777.469,769.421,495063844,759.99,756.823,108631367
2005/6/3,699.419,700.434,334160700,816.546,818.033,793605600,767.67,765.967,458631503,755.929,756.907,102360550
2005/6/6,699.266,717.213,356022100,816.731,838.997,900918500,764.656,778.21,476354250,755.118,766.725,89590044
2005/6/7,718.397,713.62,467138400,841.579,837.282,1306706800,779.723,779.844,708730037,767.275,767.906,141203528
2005/6/8,729.805,772.134,1424482500,848.536,905.773,3290783900,782.007,841.36,1497354405,770.456,826.234,330347514
2005/6/9,774.301,778.577,1448081300,907.569,912.604,3314184000,840.233,849.725,1531145199,825.584,836.831,354247490
2005/6/10,777.98,766.663,1009550700,911.941,894.556,2239150200,850.024,831.605,1003594822,836.536,819.996,238904211
2005/6/13,762.001,759.917,675693900,894.997,892.959,1562800200,830.796,834.252,689483897,821.898,825.872,186217662
2005/6/14,761.982,754.548,625742200,895.391,883.537,1434357000,835.353,818.191,740158653,826.622,807.356,166256224
2005/6/15,752.296,745.216,472439400,881.208,866.834,1145405600,815.731,796.26,588453212,805.592,788.292,148663327
2005/6/16,745.202,757.392,508383600,866.659,879.237,1104968500,795.755,803.945,551448200,787.501,797.426,140297132
2005/6/17,761.093,762.178,639626100,883.605,880.345,1496300900,805.753,800.137,547849935,799.166,790.55,124984614
2005/6/20,764.102,780.291,804594300,881.623,906.255,1899208200,799.467,823.733,796647678,790.113,813.122,163602542
2005/6/21,779.887,770.295,461727100,906.306,896.166,1277478400,823.538,816.197,638511320,813.873,806.023,142590599
2005/6/22,768.017,774.15,402290400,894.769,900.646,1047813400,814.912,818.647,499273725,804.628,810.029,141465734
2005/6/23,773.584,768.331,317339800,900.059,893.572,950930800,818.189,809.347,524665869,807.94,796.051,133188135
2005/6/24,766.598,772.319,381535000,892.061,898.301,891873900,807.678,813.203,427675509,793.827,799.695,139279344
2005/6/27,776.596,782.382,607254700,904.209,916.043,1654540200,817.284,834.346,928098446,804.253,822.881,228413028
2005/6/28,779.685,775.634,360953000,913.48,903.716,1040221900,832.155,819.046,574778722,820.976,807.644,141353488
2005/6/29,782.567,772.02,525068000,906.751,898.898,1080674600,818.091,814.064,514989044,809.284,805.097,132196484
2005/6/30,770.961,758.717,429535100,897.102,878.686,1085547200,813.152,791.502,535470028,804.459,781.826,154257722
2005/7/1,756.24,748.046,328197700,875.935,859.494,1009459700,789.177,760.352,646907313,779.478,743.115,187258287
2005/7/4,744.286,747.086,295202800,855.317,855.932,884027700,756.033,749.483,590970196,736.664,734.952,160278414
2005/7/5,743.722,741.205,380680400,853.679,849.679,799268800,747.894,744.595,439146253,732.538,729.359,118865959
2005/7/6,742.138,734.768,285762500,850.253,842.556,689831400,744.795,743.444,428024302,729.282,727.061,110524860
2005/7/7,733.871,735.554,244490700,841.748,844.729,596246500,743.323,747.418,392513492,726.929,732.049,107828211
2005/7/8,733.929,727.556,262778600,842.62,829.489,722100000,746.289,722.854,509962055,730.577,706.735,127768206
2005/7/11,734.719,726.905,329788800,837.863,824.097,843900600,725.635,714.475,504551945,709.047,694.828,126447200
2005/7/12,724.164,753.06,726452000,821.911,851.816,1498987100,712.307,739.534,690327173,691.282,720.565,166375133
2005/7/13,751.889,748.55,396495200,850.469,846.231,939884200,738.614,732.443,571845061,718.905,711.951,141411919
2005/7/14,746.671,753.639,419549600,844.94,849.59,936196800,732.005,732.544,523636686,711.089,711.583,122852546
2005/7/15,752.865,748.519,333882800,849.873,841.001,888956300,732.674,714.488,594210409,712.134,690.491,129685737
2005/7/18,746.768,746.921,293764700,839.221,832.995,850000600,712.32,696.848,481789676,688.09,669.029,105700353
2005/7/19,745.291,747.485,315655100,831.501,835.608,789181800,695.767,703.066,418524535,667.764,677.02,92032561
2005/7/20,747.585,753.546,390002700,835.301,842.641,852647300,703.173,707.293,424300901,677.202,682.122,95053698
2005/7/21,753.448,756.981,357412000,842.746,843.987,836610100,707.049,704.788,474598107,682.974,679.019,111150175
2005/7/22,761.123,768.724,1002735200,847.541,859.693,2163097600,704.611,721.445,950855587,678.725,694.294,210200059
2005/7/25,767.302,764.647,406598200,858.328,856.86,1181608000,720.609,718.867,577102003,694.036,692.388,137634529
2005/7/26,764.598,780.753,998226000,856.189,876.48,2182677600,718.623,735.861,919136182,691.501,709.097,202592080
2005/7/27,781.079,792.489,787326200,876.942,894.012,2040953700,736.289,750.015,947247844,708.669,724.045,212508958
2005/7/28,792.546,789.853,708435000,893.879,890.885,2062252700,750.4,747.23,1074715208,723.711,725.806,246503413
2005/7/29,788.737,788.632,563501900,889.41,888.164,1339740600,746.589,744.825,705695311,724.805,722.873,177157130
2005/8/1,788.217,789.996,422743100,887.718,891.607,1180830900,744.771,750.488,631794348,721.492,729.902,137269956
2005/8/2,790.306,797.348,460645800,892.13,903.598,1429254700,750.964,763.29,890216702,730.333,744.005,203168197
2005/8/3,798.392,797.744,774597000,905.181,909.57,2578629800,764.938,769.752,1408354965,745.664,751.893,296600370
2005/8/4,796.072,795.145,462092000,907.42,904.15,1451925600,767.566,765.262,866178461,750.608,747.568,222362064
2005/8/5,798.202,812.329,685386400,904.039,923.803,1912376500,765.39,787.819,1249026298,747.995,772.151,279478604
2005/8/8,814.123,812.722,650889800,926.571,927.471,2160894400,792.401,800.117,1536139404,777.96,783.726,333786041
2005/8/9,811.904,814.611,550879700,926.973,933.089,1953290700,800.837,814.186,1401640053,786.079,799.411,296272216
2005/8/10,814.675,822.164,700321600,933.26,940.37,2151576300,814.763,823.839,1520112307,799.096,809.459,318334979
2005/8/11,822.571,832.238,954925700,940.785,953.992,2707366600,823.72,832.841,1646330415,811.742,817.621,336464322
2005/8/12,833.955,822.329,1008524400,954.719,938.316,2916814400,833.462,816.386,1764308661,818.995,803.443,400838656
2005/8/15,832.149,839.512,993365500,937.705,954.502,2043081300,814.842,839.667,1262526106,803.655,830.344,306116098
2005/8/16,840.066,828.229,827817100,955.27,945.058,2386181800,841.322,839.264,1551594142,832.394,833.485,386960910
2005/8/17,828.223,833.838,715173100,943.405,953.012,2145776900,837.896,854.526,1679237457,833.351,857.657,453542242
2005/8/18,841.703,814.291,1546582300,954.155,920.671,3185532700,855.879,820.664,2133211994,859.074,826.424,586256858
2005/8/19,813.113,817.685,831383300,918.091,923.038,2224267900,816.96,820.869,1386054808,821.765,827.464,434230731
2005/8/22,819.357,823.083,825990300,923.108,931.673,1603101000,819.478,831.496,972441322,825.516,836.515,259321694
2005/8/23,823.195,818.053,646263100,931.809,923.414,1540648800,830.736,816.914,918385115,834.934,819.17,258882506
2005/8/24,818.189,825.453,742881600,923.558,930.651,1595974700,816.742,826.716,884105752,818.846,830.999,284141816
2005/8/25,825.547,823.576,689105500,930.975,930.118,1629205700,827.014,836.418,1037584874,831.369,843.884,297115834
2005/8/26,823.762,822.197,596951600,930.246,928.258,1542980400,837.41,840.431,1188080079,845.091,848.024,309615286
2005/8/29,821.791,811.312,578123900,928.341,917.371,1546226100,839.305,832.248,1078255660,848.137,842.154,301369542
2005/8/30,809.977,809.063,413086000,916.086,914.88,1243817000,831.492,827.55,924203558,840.333,832.523,250118282
2005/8/31,809.555,816.755,392936600,915.122,927.916,1462363000,827.228,845.142,1134994316,831.004,850.734,272048330
2005/9/1,817.229,827.9,663805600,928.52,944.559,2230638400,845.934,865.405,1703406614,850.255,870.712,365685691
2005/9/2,829.244,829.463,553176800,945.978,947.871,1861443800,866.549,872.485,1536554793,872.608,880.862,386712349
2005/9/5,829.773,829.341,576209100,949.077,952.717,1784331800,873.856,884.29,1250419203,882.74,891.156,308021839
2005/9/6,829.55,815.753,613558700,953.41,936.61,2122225500,885.362,862.491,1705090353,893.591,864.926,392293659
2005/9/7,815.033,825.118,593964100,934.991,952.758,1960846600,860.384,888.125,1395759518,864.139,893.582,356920720
2005/9/8,826.648,827.116,712356500,954.273,955.282,2242439300,890.193,889.69,1469915717,896.169,897.373,408490421
2005/9/9,827.0,823.639,548476700,955.112,949.065,1621931000,889.549,879.503,1039946723,897.41,887.997,291585787
2005/9/12,824.441,821.978,389478100,949.779,949.506,1167261300,878.73,883.561,765652323,888.839,894.159,205168909
